firstname	lastname	email	login	statut	datec
NULL	SuperAdmin	NULL	admin	1	NULL
NULL	NULL	NULL		0	NULL
fer	ver		test	1	2024-12-09 12:43:32
NULL	NULL	john.doe@example.com	password123	0	2024-12-09 13:19:07
NULL	NULL	jane.smith@example.com	secretpass	0	2024-12-09 13:19:07
NULL	NULL	alice.johnson@example.com	alicepass	0	2024-12-09 13:19:07
NULL	NULL	bob.martin@example.com	bobpass	0	2024-12-09 13:19:07
NULL	NULL			1	2024-12-09 13:19:08
John	Doe	john.doe@example.com	johndoe	1	2024-12-09 14:02:06
Jane	Smith	jane.smith@example.com	janesmith	1	2024-12-09 14:02:06
Alice	Johnson	alice.johnson@example.com	alicejohnson	1	2024-12-09 14:02:06
Bob	Martin	bob.martin@example.com	bobmartin	1	2024-12-09 14:02:06
